name,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,review_scores_rating
Georgian Boutique Apt City Centre,"Old Town, Princes Street and Leith Street",Apartment,Entire home/apt,2,1,1,1,80,99
"Cool central Loft, sleeps 4, 2 double bed+en-suite",Meadows and Southside,Loft,Entire home/apt,4,1.5,2,2,115,92
Edinburgh Holiday Let,Joppa,Apartment,Entire home/apt,2,1,0,2,46,94
Double room - spacious Leith flat,South Leith,Condominium,Private room,2,1,1,1,32,93
"City flat, close to nature and the Fringe","Canongate, Southside and Dumbiedykes",Condominium,Private room,2,1,1,1,100,98
Large Sunny Room on Royal Mile,"Old Town, Princes Street and Leith Street",Apartment,Private room,3,1,1,2,71,97
Superb City Centre Apartment,New Town West,Apartment,Entire home/apt,5,1,2,3,175,100
The Four Sisters Boatel,Tollcross,Boat,Entire home/apt,5,1.5,3,2,150,92
Lovely central apartment sleeps 6,Hillside and Calton Hill,Apartment,Entire home/apt,6,1,4,5,139,96
Beautiful Apartment in Edinburgh,Deans Village,Apartment,Entire home/apt,10,2,4,7,190,99
Lovely central flat in New Town,New Town East and Gayfield,Apartment,Entire home/apt,2,1,1,1,85,77
Stunning One Bedroom Loft Apartment With Balcony,North Leith and Newhaven,Loft,Entire home/apt,4,2,1,1,64,98
Rustic Urban Retreat in City View Flat,Leith (Albert Street),Apartment,Entire home/apt,3,1,1,1,79,98
Double Room in Comfortable Family Home,Siverknowes and Davidson's Mains,House,Private room,2,1,1,1,60,96
Central Ensuite Room +Hot Breakfast,Dalry and Fountainbridge,Apartment,Private room,2,2,1,1,55,98
"PERFECT LOCATION,FREE PARKING,WIFI",Merchiston and Greenhill,Apartment,Entire home/apt,4,1,2,2,70,89
Stylish Royal Botantic Ground Flat,Hillside and Calton Hill,Apartment,Entire home/apt,2,1,1,1,120,95
Holyrood Park Flat near Arthur Seat,Meadowbank and Abbeyhill North,Apartment,Entire home/apt,4,1,1,1,50,94
"Epicurean Clerk  - Huge, Central!",Meadows and Southside,Apartment,Entire home/apt,10,1.5,5,5,280,96
Vibrant Cottage-style Flat in Leith Links,Leith (Hermitage and Prospect Bank),Apartment,Entire home/apt,5,1,1,2,75,97
Explore the Royal Mile from a City View Apartment,Meadowbank and Abbeyhill North,Apartment,Entire home/apt,2,1,1,1,65,98
Central Edinburgh Studio apartments,Deans Village,Apartment,Entire home/apt,4,1,1,1,80,91
Stylish Castle View Apartment,Meadows and Southside,Apartment,Entire home/apt,4,1,1,1,80,97
Luxurious for 4 in Great Location,Hillside and Calton Hill,Apartment,Entire home/apt,4,1,2,3,180,87
Real comfort in Edinburgh suburbs (private room),"Jewel, Brunstane and Newcraighall",House,Private room,3,1,2,2,60,100
Ground Floor Garden Flat in City,Meadows and Southside,Apartment,Entire home/apt,4,1.5,2,2,200,100
"Stunning 2 bedroom flat @ the Shore, free parking",The Shore and Constitution Street,Apartment,Entire home/apt,4,1,2,3,70,97
Guest-room in Central Penthouse,Dalry and Fountainbridge,Bed and breakfast,Private room,2,2.5,1,1,55,97
City Centre Apartment with Castle Views,Deans Village,Apartment,Entire home/apt,4,1.5,2,2,131,93
Nice Central Double room incl. Breakfast,Easter Road and Hawkhill Avenue,Apartment,Private room,2,0,1,1,40,92
Bright Central Double room incl. Breakfast,Leith (Albert Street),Apartment,Private room,2,NA,1,1,50,89
Flat with a view of Holyrood Park,"Canongate, Southside and Dumbiedykes",Apartment,Entire home/apt,4,1,2,3,65,98
